노선,노선,노선,운항(편),여객(명),화물(톤)
225,인천(ICN),하얼빈(HRB),"1,452","211,699","4,018"
226,인천(ICN),하이커우(HAK),823,"21,517",396
227,인천(ICN),하이퐁(HPH),728,"108,246","1,659"
228,인천(ICN),한(HHN),2,0,13
229,인천(ICN),항조우(HGH),"1,460","263,138","7,427"
230,인천(ICN),허폐(HFE),418,"43,276",633
231,인천(ICN),헬싱키(HEL),724,"217,082","13,822"
232,인천(ICN),호놀루루(HNL),"2,968","592,298","21,884"
233,인천(ICN),호치민(SGN),"8,478","1,685,091","80,665"
234,인천(ICN),홍차오(SHA),3,451,5
235,인천(ICN),홍콩(HKG),"19,412","3,482,013","290,551"
236,인천(ICN),후쿠오카(FUK),"13,236","2,474,825","43,612"
237,인천(ICN),휴스턴(IAH),1,0,38
238,인천(ICN),히로시마(HIJ),448,"64,426",543
239,인천(ICN),히캄(HIK),1,0,0
240,인천(ICN),미자와(MSJ),0,0,0
241,인천(ICN),리용(LYS),0,133,12
242,인천(ICN),바레인(BAH),0,0,0
243,인천(ICN),콜롬보(CMB),0,"35,722","2,634"
244,인천(ICN),아바칸(ABA),0,0,0
245,인천(ICN),하이데라바드(HYD),0,0,0
246,인천(ICN),마나스(FRU),0,0,0
247,인천(ICN),니쯔네바토브스크(NJC),0,0,81
248,인천(ICN),헬리팍스(YHZ),0,0,"7,160"
249,인천(ICN),퀼른(CGN),0,0,118
250,인천(ICN),산티아고(SCL),0,0,"4,752"
251,인천(ICN),캘커타(CCU),0,0,0
252,인천(ICN),켄사스(MCI),0,0,0
253,인천(ICN),마리(MYP),0,0,0
254,인천(ICN),위니펙(YWG),0,0,0
255,인천(ICN),터어키(ESB),0,0,0
256,인천(ICN),트루크멘바시(KRW),0,0,0
257,인천(ICN),지부티(JIB),0,0,0
258,인천(ICN),스텐스테드(STN),0,0,"4,426"
259,인천(ICN),다카(DAC),0,0,0
260,인천(ICN),리마(LIM),0,0,"2,117"
261,인천(ICN),캘거리(YYC),0,0,77
262,인천(ICN),카라치(KHI),0,0,0
